City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Sahbuz,AZ,2021-08-04 03:05:07,39.4072,45.5739,64.0,40,1,5.53
153,Obo,CF,2021-08-04 03:05:07,5.3998,26.4869,65.5,98,13,0.38
154,Egvekinot,RU,2021-08-04 03:05:08,66.3167,-179.1667,45.25,99,100,3.85
155,Salalah,OM,2021-08-04 03:05:08,17.0151,54.0924,78.89,94,75,5.75
156,Guajara,BR,2021-08-04 03:05:08,-2.9667,-57.6667,73.81,86,95,3.65
157,Nabire,ID,2021-08-04 03:05:09,-3.3667,135.4833,78.01,88,98,0.92
158,Luderitz,NA,2021-08-04 03:05:09,-26.6481,15.1594,54.91,93,40,5.44
159,Berja,ES,2021-08-04 03:05:09,36.8469,-2.9497,75.13,71,99,4.38
160,Dhidhdhoo,MV,2021-08-04 03:05:10,6.8833,73.1,82.76,74,76,11.32
161,Constitucion,CL,2021-08-04 03:05:10,-35.3333,-72.4167,52.21,81,0,1.57
162,Kasongo-Lunda,CD,2021-08-04 03:02:15,-6.4667,16.8167,65.77,34,3,0.38
163,Piacabucu,BR,2021-08-04 03:05:10,-10.4056,-36.4344,71.24,88,94,7.7
164,Avarua,CK,2021-08-04 03:05:11,-21.2078,-159.775,77.05,69,1,10.36
165,Cidreira,BR,2021-08-04 03:05:11,-30.1811,-50.2056,57.76,89,100,1.95
166,Freeport,US,2021-08-04 03:04:20,40.6576,-73.5832,73.18,79,1,0.0
167,Sierra Vista,US,2021-08-04 03:01:43,31.5545,-110.3037,85.68,44,1,9.22
168,Nongstoin,IN,2021-08-04 03:05:12,25.5167,91.2667,74.17,79,100,2.21
169,Roma,US,2021-08-04 03:05:12,43.2128,-75.4557,65.43,85,1,3.44
170,Hasaki,JP,2021-08-04 03:05:12,35.7333,140.8333,99.28,71,47,8.75
171,South Lake Tahoe,US,2021-08-04 03:04:51,38.9332,-119.9844,83.05,19,1,4.61
172,Babu,CN,2021-08-04 03:05:13,24.4167,111.5167,93.06,54,60,8.63
173,Williams Lake,CA,2021-08-04 03:05:13,52.1415,-122.1445,77.99,33,27,4.45
174,San Carlos,VE,2021-08-04 03:05:13,9.6612,-68.5827,70.9,97,100,1.88
175,Guaruja,BR,2021-08-04 03:01:11,-23.9931,-46.2564,65.91,26,100,1.99
176,Dauphin,CA,2021-08-04 03:05:14,51.1494,-100.0502,77.18,47,100,12.84
177,Ciudad Bolivar,VE,2021-08-04 03:05:14,8.1222,-63.5497,74.93,88,100,4.92
178,Burnie,AU,2021-08-04 03:05:15,-41.0667,145.9167,52.93,69,64,12.3
179,Bonao,DO,2021-08-04 03:05:15,18.9369,-70.4092,77.88,93,100,2.59
180,Wahpeton,US,2021-08-04 03:05:15,46.2652,-96.6059,75.76,78,75,8.05
181,Ornskoldsvik,SE,2021-08-04 03:05:16,63.2909,18.7153,45.55,81,11,6.91
182,Twentynine Palms,US,2021-08-04 03:03:08,34.1356,-116.0542,105.13,13,0,3.0
183,Tuatapere,NZ,2021-08-04 03:05:16,-46.1333,167.6833,46.81,61,100,2.77
184,Avera,US,2021-08-04 03:05:17,33.194,-82.5271,75.07,78,35,5.64
185,Havre-Saint-Pierre,CA,2021-08-04 03:05:17,50.2334,-63.5986,55.18,65,0,14.72
186,Mount Gambier,AU,2021-08-04 03:05:17,-37.8333,140.7667,54.39,85,71,13.04
187,Portland,US,2021-08-04 03:03:58,45.5234,-122.6762,86.45,42,20,1.01
188,Sao Joao De Pirabas,BR,2021-08-04 03:05:18,-0.7747,-47.1772,75.36,87,71,1.92
189,Sao Filipe,CV,2021-08-04 03:05:18,14.8961,-24.4956,76.17,92,100,7.38
190,Kieta,PG,2021-08-04 03:05:19,-6.2167,155.6333,83.43,76,34,6.26
191,El Dorado,US,2021-08-04 03:05:19,38.7666,-120.5177,88.88,22,0,2.15
192,Chuy,UY,2021-08-04 03:05:19,-33.6971,-53.4616,47.64,93,13,2.51
193,Axim,GH,2021-08-04 03:05:20,4.8699,-2.2405,75.74,91,97,6.96
194,Portobelo,PA,2021-08-04 03:05:20,9.55,-79.65,77.86,84,100,5.39
195,Arraial Do Cabo,BR,2021-08-04 03:05:20,-22.9661,-42.0278,67.6,74,43,11.95
196,Jhargram,IN,2021-08-04 03:05:21,22.45,86.9833,82.35,82,100,9.22
197,Meulaboh,ID,2021-08-04 03:05:21,4.1363,96.1285,81.55,75,98,3.83
198,Kerema,PG,2021-08-04 03:05:21,-7.9631,145.7785,80.87,78,50,5.97
199,Palaikastron,GR,2021-08-04 03:05:22,35.2,26.25,82.24,55,0,16.2
200,Codrington,AU,2021-08-04 03:05:22,-38.2667,141.9667,55.36,86,88,18.52
201,Batticaloa,LK,2021-08-04 03:05:23,7.7102,81.6924,84.47,56,87,3.85
202,Poum,NC,2021-08-04 03:05:23,-20.2333,164.0167,73.2,63,1,13.35
203,Mount Isa,AU,2021-08-04 03:05:23,-20.7333,139.5,65.97,24,22,17.27
204,Upata,VE,2021-08-04 03:05:24,8.0086,-62.3989,70.2,99,100,2.59
205,Villa Bruzual,VE,2021-08-04 03:05:24,9.3328,-69.1208,70.72,97,94,2.93
206,Severomuysk,RU,2021-08-04 03:05:24,56.1481,113.4267,52.41,76,95,4.94
207,Kawalu,ID,2021-08-04 03:05:25,-7.3817,108.2082,78.73,83,69,3.56
208,Khonsa,IN,2021-08-04 03:05:25,27.0167,95.5667,82.71,62,85,2.59
