City_ID,City,Country,Lat,Lng,Max Temp F°,Humidity %,Cloudiness %,Wind Speed mph,Weather Description
209,Batagay-Alyta,RU,67.8006,130.4114,71.35,28,4,13.85,clear sky
210,Alta Floresta,BR,-9.8756,-56.0861,70.48,40,2,3.87,clear sky
211,Clyde River,CA,70.4692,-68.5914,37.63,93,90,10.36,overcast clouds
212,Lompoc,US,34.6391,-120.4579,71.56,82,75,12.66,broken clouds
213,Kramat,ID,-8.1311,113.4499,85.48,63,38,3.74,scattered clouds
214,Saint-Nazaire,FR,47.2833,-2.2,61.07,99,90,14.97,overcast clouds
215,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,68,3,14.97,clear sky
216,Staryy Nadym,RU,65.6118,72.6842,63.12,67,93,12.88,overcast clouds
217,Kirakira,SB,-10.4544,161.9205,80.53,73,51,8.9,broken clouds
218,Krutinka,RU,56.0055,71.5113,59.92,86,32,8.01,scattered clouds
219,Severo-Kurilsk,RU,50.6789,156.125,54.07,69,100,18.54,overcast clouds
220,Baton Rouge,US,30.4508,-91.1545,78.93,87,90,3.44,overcast clouds
221,Nishihara,JP,26.1842,127.7558,87.08,85,75,13.8,broken clouds
222,Gondal,IN,21.9667,70.8,86.02,82,100,16.91,overcast clouds
223,Niamey,NE,13.5137,2.1098,77.29,83,0,9.22,clear sky
224,Ilo,PE,-17.6394,-71.3375,62.64,79,80,5.26,broken clouds
225,Chibuto,MZ,-24.6867,33.5306,54.79,84,0,3.09,clear sky
226,Puerto Madryn,AR,-42.7692,-65.0385,50.7,60,100,14.94,overcast clouds
227,Chuy,UY,-33.6971,-53.4616,47.64,93,13,2.51,few clouds
228,Cockburn Town,TC,21.4612,-71.1419,82.4,77,57,21.43,broken clouds
229,Lubango,AO,-14.9172,13.4925,56.23,21,0,4.0,clear sky
230,Hailar,CN,49.2,119.7,58.93,98,100,6.85,moderate rain
231,Muli,MV,2.9167,73.5667,82.22,72,100,4.61,overcast clouds
232,Awbari,LY,26.5921,12.7805,85.37,16,0,9.4,clear sky
233,Casa Nova,BR,-9.4167,-41.1333,72.37,58,28,16.26,scattered clouds
234,Arman,RU,59.7,150.1667,62.11,43,24,4.43,few clouds
235,Colac,AU,-38.3333,143.5833,55.62,78,43,11.99,scattered clouds
236,Novyy Urengoy,RU,66.0833,76.6333,62.37,78,100,2.82,overcast clouds
237,Namibe,AO,-15.1961,12.1522,65.43,73,0,8.01,clear sky
238,Kletnya,RU,53.3897,33.2171,53.76,81,7,3.24,clear sky
239,Ulaangom,MN,49.9811,92.0667,72.86,38,6,5.46,clear sky
240,Lima,PE,-12.0432,-77.0282,61.05,82,90,8.05,overcast clouds
241,Susangerd,IR,31.5608,48.1831,87.82,13,21,3.6,few clouds
242,Husavik,IS,66.0449,-17.3389,49.91,83,96,0.85,overcast clouds
243,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,87,75,14.97,broken clouds
244,Pacific Grove,US,36.6177,-121.9166,71.58,86,40,3.0,scattered clouds
245,Port Keats,AU,-14.25,129.55,88.77,41,31,8.97,scattered clouds
