City_ID,City,Country,Max Temp F°,Weather Description,Lat,Lng,Hotel Name
449,Fukue,JP,86.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
451,Bagotville,AU,65.64,scattered clouds,-28.9833,153.4167,Broadwater Stopover Tourist Park
452,Yeppoon,AU,67.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
453,Resistencia,AR,62.65,light rain,-27.4606,-58.9839,Niyat Urban Hotel
454,Manta,EC,73.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
456,Mortka,RU,61.03,moderate rain,59.3322,66.0214, 
457,Riosucio,CO,70.23,overcast clouds,5.4216,-75.7032,Finca cafetera La Ermita
458,Moberly,US,75.67,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
459,Amga,RU,72.99,overcast clouds,60.8953,131.9608,Algys
460,Shiyan,CN,81.59,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
461,Pachino,IT,80.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
462,Kropotkin,RU,77.79,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
463,Witu,KE,73.56,scattered clouds,-2.3889,40.4382, 
464,San Miguel,SV,83.86,thunderstorm,13.4833,-88.1833,Hotel Tropico Inn San Miguel
465,Awjilah,LY,87.98,clear sky,29.1081,21.2869, 
466,Yarmouth,US,70.12,mist,41.7057,-70.2286,Blue Rock Resort
468,Flagstaff,US,87.13,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
469,Soyo,AO,71.87,clear sky,-6.1349,12.3689,Hotel Mpampa
470,Nemuro,JP,72.03,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
472,Hailar,CN,67.64,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
474,Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
475,Wahiawa,US,84.52,broken clouds,21.5028,-158.0236,Aloha Wahiawa
476,Issoire,FR,65.46,broken clouds,45.55,3.25,ACE Hôtel - Issoire
478,Merauke,ID,80.1,overcast clouds,-8.4667,140.3333, 
479,Bali,ID,79.77,overcast clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
480,Baykit,RU,72.79,clear sky,61.67,96.37, 
